2026-04-17T16:16:22Z	FAILED	job_id=340	type=load_today	date_et=2026-04-17	started_utc=2026-04-17T16:16:22Z	finished_utc=2026-04-17T16:16:22Z	err=rc=2 python: can't open file 'C:\\Users\\sevan\\OneDrive\\Documents\\Python_Scripts\\mlb_stats\\batch\\jobs\\batch\\ingestion\\load_today.py': [Errno 2] No such file or directory
2026-04-17T16:16:23Z	FAILED	job_id=339	type=stats_pull	date_et=2026-04-17	started_utc=2026-04-17T16:16:22Z	finished_utc=2026-04-17T16:16:23Z	err=rc=2 python: can't open file 'C:\\Users\\sevan\\OneDrive\\Documents\\Python_Scripts\\mlb_stats\\batch\\jobs\\batch\\ingestion\\load_mlb_stats.py': [Errno 2] No such file or directory
2026-04-19T16:05:07Z	FAILED	job_id=402	type=odds_pull	date_et=2026-04-19	started_utc=2026-04-19T16:05:06Z	finished_utc=2026-04-19T16:05:07Z	err=rc=2 usage: load_odds.py [-h] [--pregame] [--late-games] [--historical]                     [--compute-movement] [--check]                     [--markets {game,f5,props} [{game,f5,props} ...]]                     [--season SEASON] [--start START] [--end END]                     [--date DATE] [--recover] [--no-recover] [--force]                     [--db DB] [--verbose] load_odds.py: error: argument --markets: invalid choice: '#' (choose from 'game', 'f5', 'props')
2026-04-19T18:24:18Z	SKIPPED	job_id=484	type=odds_pull	date_et=2026-04-19	started_utc=2026-04-19T18:24:18Z	finished_utc=2026-04-19T18:24:18Z	err=rc=1 14:24:18  INFO      ============================================================ 14:24:18  INFO        MLB Odds Loader  �  The Odds API 14:24:18  INFO      ============================================================ 14:24:18  ERROR     Specify a mode: --pregame, --historical, or --compute-movement 14:24:18  ERROR     Run with --help for examples. | terminal=skipped after 5 attempts (deps unblocked — assume manual follow-up)
2026-04-19T18:24:19Z	SKIPPED	job_id=508	type=ledger_snapshot	date_et=2026-04-19	started_utc=2026-04-19T18:24:18Z	finished_utc=2026-04-19T18:24:19Z	err=rc=1 Traceback (most recent call last):   File "C:\Users\sevan\OneDrive\Documents\Python_Scripts\mlb_stats\batch\pipeline\daily_results_report.py", line 851, in <module>     main()   File "C:\Users\sevan\OneDrive\Documents\Python_Scripts\mlb_stats\batch\pipeline\daily_results_report.py", line 825, in main     print(report_text)   File "C:\Users\sevan\anaconda3\Lib\encodings\cp1252.py", line 19, in encode     return codecs.charmap_encode(input,self.errors,encoding_table)[0]            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ UnicodeEncodeError: 'charmap' codec can't encode characters in position 2-67: character maps to <undefined> | terminal=skipped after 5 attempts (deps unblocked — assume manual follow-up)
2026-04-19T18:24:19Z	SKIPPED	job_id=487	type=odds_check	date_et=2026-04-19	started_utc=2026-04-19T18:24:19Z	finished_utc=2026-04-19T18:24:19Z	err=rc=1 Traceback (most recent call last):   File "C:\Users\sevan\OneDrive\Documents\Python_Scripts\mlb_stats\diagnostics\check_odds_ready.py", line 513, in <module>     main()   File "C:\Users\sevan\OneDrive\Documents\Python_Scripts\mlb_stats\diagnostics\check_odds_ready.py", line 501, in main     rc = check_odds_ready(args.date, args.fix, args.warn, args.db)          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File "C:\Users\sevan\OneDrive\Documents\Python_Scripts\mlb_stats\diagnostics\check_odds_ready.py", line 150, in check_odds_ready     print(f"  \u2713  {g['matchup']:<14}  {t:<13}  closing ML odds present")   File "C:\Users\sevan\anaconda3\Lib\encodings\cp1252.py", line 19, in encode     return codecs.charmap_encode(input,self.errors,encoding_table)[0]            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ UnicodeEncodeError: 'charmap' codec can't encode character '\u2713' in position 2: character maps to <undefined> | terminal=skipped after 5 attempts (deps unblocked — assume manual follow-up)
2026-04-19T18:25:21Z	SKIPPED	job_id=490	type=weather	date_et=2026-04-19	started_utc=2026-04-19T18:25:20Z	finished_utc=2026-04-19T18:25:21Z	err=rc=1 Traceback (most recent call last):   File "C:\Users\sevan\OneDrive\Documents\Python_Scripts\mlb_stats\batch\ingestion\load_weather.py", line 698, in <module>     main()   File "C:\Users\sevan\OneDrive\Documents\Python_Scripts\mlb_stats\batch\ingestion\load_weather.py", line 579, in main     print(f"\n  \u2550\u2550  Weather + Starter Refresh  �  {args.date}  �  {run_ts}  \u2550\u2550")   File "C:\Users\sevan\anaconda3\Lib\encodings\cp1252.py", line 19, in encode     return codecs.charmap_encode(input,self.errors,encoding_table)[0]            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ UnicodeEncodeError: 'charmap' codec can't encode characters in position 4-5: character maps to <undefined> | terminal=skipped after 5 attempts (deps unblocked — assume manual follow-up)
2026-04-19T21:55:50Z	SKIPPED	job_id=488	type=odds_check	date_et=2026-04-19	started_utc=2026-04-19T21:55:50Z	finished_utc=2026-04-19T21:55:50Z	err=rc=1 Traceback (most recent call last):   File "C:\Users\sevan\OneDrive\Documents\Python_Scripts\mlb_stats\diagnostics\check_odds_ready.py", line 523, in <module>     main()   File "C:\Users\sevan\OneDrive\Documents\Python_Scripts\mlb_stats\diagnostics\check_odds_ready.py", line 511, in main     rc = check_odds_ready(args.date, args.fix, args.warn, args.db)          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File "C:\Users\sevan\OneDrive\Documents\Python_Scripts\mlb_stats\diagnostics\check_odds_ready.py", line 160, in check_odds_ready     print(f"  \u2713  {g['matchup']:<14}  {t:<13}  closing ML odds present")   File "C:\Users\sevan\anaconda3\Lib\encodings\cp1252.py", line 19, in encode     return codecs.charmap_encode(input,self.errors,encoding_table)[0]            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ UnicodeEncodeError: 'charmap' codec can't encode character '\u2713' in position 2: character maps to <undefined> | terminal=skipped after 5 attempts (deps unblocked — assume manual follow-up)
2026-04-19T22:35:52Z	SKIPPED	job_id=491	type=weather	date_et=2026-04-19	started_utc=2026-04-19T22:35:52Z	finished_utc=2026-04-19T22:35:52Z	err=rc=1 Traceback (most recent call last):   File "C:\Users\sevan\OneDrive\Documents\Python_Scripts\mlb_stats\batch\ingestion\load_weather.py", line 698, in <module>     main()   File "C:\Users\sevan\OneDrive\Documents\Python_Scripts\mlb_stats\batch\ingestion\load_weather.py", line 579, in main     print(f"\n  \u2550\u2550  Weather + Starter Refresh  �  {args.date}  �  {run_ts}  \u2550\u2550")   File "C:\Users\sevan\anaconda3\Lib\encodings\cp1252.py", line 19, in encode     return codecs.charmap_encode(input,self.errors,encoding_table)[0]            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ UnicodeEncodeError: 'charmap' codec can't encode characters in position 4-5: character maps to <undefined> | terminal=skipped after 5 attempts (deps unblocked — assume manual follow-up)
2026-04-19T22:50:54Z	SKIPPED	job_id=496	type=group_brief	date_et=2026-04-19	started_utc=2026-04-19T22:50:54Z	finished_utc=2026-04-19T22:50:54Z	err=rc=2 [TIME] Running as-of: 2026-04-19 18:50 ET ✗  Non-prior sessions require --as-of-time HH:MM (ET) or full --as-of 'YYYY-MM-DD HH:MM' (ET). | terminal=skipped after 5 attempts (deps unblocked — assume manual follow-up)
2026-04-19T23:05:56Z	SKIPPED	job_id=501	type=group_brief	date_et=2026-04-19	started_utc=2026-04-19T23:05:56Z	finished_utc=2026-04-19T23:05:56Z	err=rc=2 [TIME] Running as-of: 2026-04-19 19:05 ET ✗  Non-prior sessions require --as-of-time HH:MM (ET) or full --as-of 'YYYY-MM-DD HH:MM' (ET). | terminal=skipped after 5 attempts (deps unblocked — assume manual follow-up)
