game_date_et,game_pk,away_abbr,home_abbr,venue,season,dog_side,dog_ml,fav_ml,dog_win,signal_proxy_structural_any,struct_owm,struct_lhp,struct_mvf,struct_mvb,struct_h3b,wind_mph,wind_dir_raw,wind_effect,away_era_wma,home_ops_wma,away_throws,opening_total_line,bucket,units_pl_data_row,data_quality
2026-04-26,824852,BOS,BAL,Oriole Park at Camden Yards,2026,away,116,-136,1,0,0,0,0,0,0,14,"14 mph, In From LF",MODERATE,3.4525,,L,8.00,<+120,1.1600,incomplete
2026-04-26,824934,PHI,ATL,Truist Park,2026,away,140,-166,0,0,0,0,0,0,0,5,"5 mph, Out To CF",MODERATE,5.9808,,R,8.00,+120-149,-1.0000,incomplete
2026-04-26,825094,SD,AZ,Estadio Alfredo Harp Helu,2026,home,114,-134,1,0,0,0,0,0,0,1,"1 mph, Varies",,1.6706,,R,15.00,<+120,1.1400,incomplete
2026-04-27,822825,BOS,TOR,Rogers Centre,2026,away,114,-134,1,0,0,0,0,0,0,0,"0 mph, None",LOW,5.8945,,L,7.00,<+120,1.1400,incomplete
2026-04-27,822906,NYY,TEX,Globe Life Field,2026,home,148,-176,0,0,0,0,0,0,0,0,"0 mph, None",LOW,3.0600,,L,8.00,+120-149,-1.0000,incomplete
2026-04-27,823311,CHC,SD,Petco Park,2026,home,-104,-112,1,0,0,0,0,0,0,13,"13 mph, L To R",MODERATE,5.9047,,L,8.00,<+120,0.9615,incomplete
2026-04-27,823395,STL,PIT,PNC Park,2026,away,108,-126,1,0,0,0,0,0,0,10,"10 mph, In From CF",MODERATE,6.7425,,R,8.50,<+120,1.0800,incomplete
2026-04-27,823719,SEA,MIN,Target Field,2026,home,106,-124,1,1,0,0,0,1,1,13,"13 mph, Out To RF",HIGH,3.2045,,R,8.50,<+120,1.0600,incomplete
2026-04-27,823961,MIA,LAD,Dodger Stadium,2026,away,245,-300,0,0,0,0,0,0,0,2,"2 mph, Calm",MODERATE,7.1967,,R,8.50,+200+,-1.0000,incomplete
2026-04-27,824446,TB,CLE,Progressive Field,2026,away,120,-142,1,0,0,0,0,0,0,13,"13 mph, Out To LF",MODERATE,6.1600,,L,7.50,+120-149,1.2000,incomplete
2026-04-27,824609,LAA,CWS,Rate Field,2026,home,-102,-118,1,0,0,0,0,0,0,12,"12 mph, R To L",HIGH,4.9094,,R,9.00,<+120,0.9804,incomplete
2026-04-28,822823,BOS,TOR,Rogers Centre,2026,away,102,-120,0,0,0,0,0,0,0,0,"0 mph, None",LOW,4.2321,,L,7.50,<+120,-1.0000,incomplete
2026-04-28,822908,NYY,TEX,Globe Life Field,2026,home,100,-118,0,0,0,0,0,0,0,0,"0 mph, None",LOW,1.4550,,,7.50,<+120,-1.0000,incomplete
2026-04-28,823310,CHC,SD,Petco Park,2026,home,100,-118,0,0,0,0,0,0,0,10,"10 mph, L To R",MODERATE,2.4857,,R,8.00,<+120,-1.0000,incomplete
2026-04-28,823390,STL,PIT,PNC Park,2026,away,138,-164,1,0,0,0,0,0,0,7,"7 mph, Out To LF",MODERATE,5.5200,,R,8.50,+120-149,1.3800,incomplete
2026-04-28,823473,SF,PHI,Citizens Bank Park,2026,away,146,-174,0,0,0,0,0,0,0,6,"6 mph, Out To LF",HIGH,7.3200,,R,8.00,+120-149,-1.0000,incomplete
2026-04-28,823636,WSH,NYM,Citi Field,2026,away,158,-188,0,0,0,0,0,0,0,7,"7 mph, Out To LF",MODERATE,9.7286,,R,7.50,+150-199,-1.0000,incomplete
2026-04-28,823716,SEA,MIN,Target Field,2026,home,108,-126,0,1,0,0,0,1,1,11,"11 mph, Out To LF",HIGH,4.8696,,R,7.50,<+120,-1.0000,incomplete
2026-04-28,823798,AZ,MIL,American Family Field,2026,away,-104,-112,0,0,0,0,0,0,0,0,"0 mph, None",LOW,10.4023,,R,8.00,<+120,-1.0000,incomplete
2026-04-28,823956,MIA,LAD,Dodger Stadium,2026,away,240,-295,1,0,0,0,0,0,0,9,"9 mph, Out To RF",MODERATE,2.5236,,R,8.50,+200+,2.4000,incomplete
2026-04-28,824447,TB,CLE,Progressive Field,2026,away,110,-130,1,0,0,0,0,0,0,8,"8 mph, L To R",MODERATE,2.4250,,R,7.50,<+120,1.1000,incomplete
2026-04-28,824526,COL,CIN,Great American Ball Park,2026,away,172,-205,0,0,0,0,0,0,0,7,"7 mph, Out To LF",HIGH,3.4430,,L,9.00,+150-199,-1.0000,incomplete
2026-04-28,824610,LAA,CWS,Rate Field,2026,home,116,-136,1,0,0,0,0,0,0,2,"2 mph, Out To RF",HIGH,0.0000,,R,7.50,<+120,1.1600,incomplete
2026-04-28,824849,HOU,BAL,Oriole Park at Camden Yards,2026,away,116,-134,0,0,0,0,0,0,0,8,"8 mph, Out To LF",MODERATE,4.6100,,R,9.00,<+120,-1.0000,incomplete
2026-04-28,824931,DET,ATL,Truist Park,2026,away,104,-122,0,0,0,0,0,0,0,6,"6 mph, In From RF",MODERATE,1.4966,,R,9.00,<+120,-1.0000,incomplete
2026-04-28,825017,KC,ATH,Sutter Health Park,2026,home,102,-120,0,0,0,0,0,0,0,3,"3 mph, In From LF",HIGH,5.7114,,L,9.50,<+120,-1.0000,incomplete
2026-04-29,822821,BOS,TOR,Rogers Centre,2026,away,110,-130,0,0,0,0,0,0,0,0,"0 mph, None",LOW,11.6657,,R,8.50,<+120,-1.0000,incomplete
2026-04-29,822907,NYY,TEX,Globe Life Field,2026,home,-102,-116,1,0,0,0,0,0,0,0,"0 mph, None",LOW,,,,8.50,<+120,0.9804,incomplete
2026-04-29,823312,CHC,SD,Petco Park,2026,away,-104,-112,1,0,0,0,0,0,0,13,"13 mph, L To R",MODERATE,4.7000,,R,9.00,<+120,0.9615,incomplete
2026-04-29,823392,STL,PIT,PNC Park,2026,away,120,-142,1,0,0,0,0,0,0,7,"7 mph, Out To CF",MODERATE,5.1675,,R,8.50,+120-149,1.2000,incomplete
2026-04-29,823633,WSH,NYM,Citi Field,2026,away,138,-164,1,0,0,0,0,0,0,8,"8 mph, Out To LF",MODERATE,3.0545,,,7.50,+120-149,1.3800,incomplete
2026-04-29,823717,SEA,MIN,Target Field,2026,home,108,-126,0,0,0,0,0,0,0,12,"12 mph, R To L",HIGH,2.7931,,R,8.00,<+120,-1.0000,incomplete
2026-04-29,823796,AZ,MIL,American Family Field,2026,away,102,-120,1,0,0,0,0,0,0,0,"0 mph, None",LOW,4.8200,,L,8.50,<+120,1.0200,incomplete
2026-04-29,823958,MIA,LAD,Dodger Stadium,2026,away,184,-220,1,0,0,0,0,0,0,2,"2 mph, Calm",MODERATE,5.0400,,R,8.50,+150-199,1.8400,incomplete
2026-04-29,824445,TB,CLE,Progressive Field,2026,away,-102,-116,0,0,0,0,0,0,0,11,"11 mph, In From CF",MODERATE,3.4782,,R,6.50,<+120,-1.0000,incomplete
2026-04-29,824525,COL,CIN,Great American Ball Park,2026,away,126,-148,1,1,0,0,0,1,1,11,"11 mph, Out To CF",HIGH,4.6404,,R,9.50,+120-149,1.2600,incomplete
2026-04-29,824608,LAA,CWS,Rate Field,2026,home,102,-120,1,1,0,0,0,1,1,12,"12 mph, Out To RF",HIGH,6.5619,,L,8.50,<+120,1.0200,incomplete
2026-04-29,824930,DET,ATL,Truist Park,2026,home,122,-144,1,0,0,0,0,0,0,9,"9 mph, Out To LF",MODERATE,2.8414,,L,8.00,+120-149,1.2200,incomplete
2026-04-29,825015,KC,ATH,Sutter Health Park,2026,away,102,-120,0,0,0,0,0,0,0,5,"5 mph, R To L",HIGH,4.8950,,R,10.00,<+120,-1.0000,incomplete
2026-04-30,823391,STL,PIT,PNC Park,2026,away,184,-220,1,1,0,0,0,1,0,11,"11 mph, Out To CF",MODERATE,4.7200,,R,7.50,+150-199,1.8400,incomplete
2026-04-30,823471,SF,PHI,Citizens Bank Park,2026,away,116,-136,0,0,0,0,0,0,0,9,"9 mph, L To R",HIGH,9.8620,,R,7.00,<+120,-1.0000,incomplete
2026-04-30,823472,SF,PHI,Citizens Bank Park,2026,away,120,-142,0,1,0,0,1,0,0,10,"10 mph, In From LF",HIGH,4.4628,,R,8.50,+120-149,-1.0000,incomplete
2026-04-30,823634,WSH,NYM,Citi Field,2026,away,190,-230,1,0,0,0,0,0,0,4,"4 mph, Out To RF",MODERATE,6.7825,,R,7.50,+150-199,1.9000,incomplete
2026-04-30,823714,TOR,MIN,Target Field,2026,home,116,-136,1,0,0,0,0,0,0,11,"11 mph, R To L",HIGH,2.8800,,R,8.00,<+120,1.1600,incomplete
2026-04-30,823795,AZ,MIL,American Family Field,2026,away,106,-124,0,0,0,0,0,0,0,0,"0 mph, None",LOW,2.0057,,R,7.50,<+120,-1.0000,incomplete
2026-04-30,824524,COL,CIN,Great American Ball Park,2026,away,146,-174,0,0,0,0,0,0,0,8,"8 mph, Out To RF",HIGH,8.3111,,R,9.50,+120-149,-1.0000,incomplete
2026-04-30,824848,HOU,BAL,Oriole Park at Camden Yards,2026,away,108,-126,0,0,0,0,0,0,0,13,"13 mph, L To R",MODERATE,3.2000,,R,9.50,<+120,-1.0000,incomplete
2026-04-30,824850,HOU,BAL,Oriole Park at Camden Yards,2026,away,106,-124,1,0,0,0,0,0,0,14,"14 mph, Out To RF",MODERATE,6.6414,,,9.00,<+120,1.0600,incomplete
2026-04-30,824929,DET,ATL,Truist Park,2026,away,-108,-108,1,0,0,0,0,0,0,9,"9 mph, R To L",MODERATE,2.1417,,L,8.50,<+120,0.9259,incomplete
2026-04-30,825016,KC,ATH,Sutter Health Park,2026,away,108,-126,0,0,0,0,0,0,0,2,"2 mph, Out To RF",HIGH,6.7343,,L,9.50,<+120,-1.0000,incomplete
